rank,id,temperature,humidity,pressure,final_score,match_score,diversity_score,Formatted Date,Summary,Precip Type,Apparent Temperature (C),Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Daily Summary
1,79219,12.266666666666666,0.45,1015.77,1.0,1.0,1.0,2015-04-20 22:00:00.000 +0200,Mostly Cloudy,rain,12.266666666666666,14.49,330.0,16.1,0.0,Mostly cloudy starting in the morning and breezy starting in the afternoon continuing until evening.
2,93105,12.2,0.47,1015.83,1.0,1.0,1.0,2016-03-21 12:00:00.000 +0100,Partly Cloudy,rain,12.2,23.6992,302.0,15.1823,0.0,Partly cloudy starting overnight.
3,93103,10.833333333333334,0.5,1015.92,1.0,1.0,1.0,2016-03-21 10:00:00.000 +0100,Mostly Cloudy,rain,10.833333333333334,24.6974,322.0,8.420300000000001,0.0,Partly cloudy starting overnight.
4,666,10.116666666666667,0.49,1015.39,1.0,1.0,1.0,2006-04-07 18:00:00.000 +0200,Partly Cloudy,rain,10.116666666666667,7.6636,335.0,11.2056,0.0,Mostly cloudy until evening.
5,9094,12.783333333333331,0.43,1015.96,1.0,1.0,1.0,2007-04-20 22:00:00.000 +0200,Clear,rain,12.783333333333331,6.359500000000001,347.0,15.826300000000002,0.0,Partly cloudy starting in the afternoon continuing until evening.
6,31694,13.88888888888889,0.51,1015.0,0.97,0.9666666666666667,1.0,2009-03-02 14:00:00.000 +0100,Mostly Cloudy,rain,13.88888888888889,3.22,340.0,11.27,0.0,Mostly cloudy starting overnight continuing until night.
7,26808,10.555555555555555,0.52,1015.2,0.94,0.9333333333333332,1.0,2009-04-28 00:00:00.000 +0200,Clear,rain,10.555555555555555,17.71,130.0,16.1,0.0,Breezy starting in the morning continuing until afternoon and partly cloudy starting in the morning.
8,42445,16.055555555555557,0.48,1015.83,0.9366666666666666,0.9296296296296296,1.0,2010-10-11 14:00:00.000 +0200,Partly Cloudy,rain,16.055555555555557,3.1073,103.0,11.3988,0.0,Foggy in the morning.
9,79528,8.838888888888887,0.4,1014.88,0.8943333333333319,0.8825925925925909,1.0,2015-04-05 19:00:00.000 +0200,Mostly Cloudy,rain,6.844444444444445,12.525800000000002,19.0,10.2557,0.0,Mostly cloudy throughout the day.
10,84326,12.916666666666666,0.34,1015.23,0.82,0.7999999999999999,1.0,2015-03-21 17:00:00.000 +0100,Clear,rain,12.916666666666666,14.1358,198.0,16.1,0.0,Partly cloudy starting in the morning continuing until evening.
11,14441,12.82222222222222,0.55,1014.84,0.8020000000000094,0.7800000000000105,1.0,2007-03-30 18:00:00.000 +0200,Overcast,rain,12.82222222222222,12.783400000000002,71.0,9.982,0.0,Mostly cloudy throughout the day.
12,41941,18.53888888888889,0.48,1015.19,0.7876666666666665,0.7640740740740739,1.0,2010-11-02 14:00:00.000 +0100,Mostly Cloudy,rain,18.53888888888889,7.550900000000001,128.0,9.982,0.0,Mostly cloudy throughout the day.
13,69933,14.644444444444446,0.57,1014.93,0.768999999999985,0.7433333333333167,1.0,2013-09-28 21:00:00.000 +0200,Overcast,rain,14.644444444444446,4.7334000000000005,41.0,10.2074,0.0,Mostly cloudy throughout the day.
14,87823,14.949999999999998,0.55,1014.61,0.7330000000000039,0.7033333333333377,1.0,2016-04-15 10:00:00.000 +0200,Partly Cloudy,rain,14.949999999999998,20.0606,290.0,16.1,0.0,Partly cloudy until night.
15,53426,10.783333333333331,0.84,1015.6,0.7,0.6666666666666666,1.0,2012-08-13 02:00:00.000 +0200,Clear,rain,10.783333333333331,3.9284,5.0,14.9569,0.0,Partly cloudy starting in the morning continuing until evening.
